Sample1,Sample2,Distance
323,3134,0.840812536
323,3345,0.956106296
323,3447,0.571793761
323,3504,0.533362507
323,4971,0.99453755
323,5307,0.614900057
323,5809,0.763950028
323,5899,0.840812536
323,6161,0.989862507
323,6510,0.840812536
323,6889,0.687087521
368,509,0.53803755
368,542,0.307450028
368,710,0.763950028
368,771,0.576468803
368,1047,0.384312536
368,1148,0.687087521
368,1389,0.922350085
368,1487,0.307450028
368,1729,0.533362507
368,1732,0.269018775
368,1812,0.494931254
368,2092,0.571793761
368,2130,0.768625071
368,2522,0.648656268
368,2613,0.802381282
368,2641,0.956106296
368,2954,0.763950028
368,3106,0.038431254
368,3138,0.956106296
368,3309,0.951431254
368,3452,0.725518775
368,3513,0.687087521
368,4004,0.960781339
368,4059,0.917675043
368,4166,0.269018775
368,4236,0.461175043
368,4342,0.494931254
368,4777,0.763950028
368,4810,0.576468803
368,4932,0.648656268
368,5026,0.648656268
368,5128,0.917675043
368,5163,0.384312536
368,5328,0.494931254
368,5438,0.840812536
368,5638,0.989862507
368,5697,0.840812536
368,6162,0.648656268
368,6286,0.879243789
368,6380,0.960781339
368,6441,0.763950028
368,6697,0.576468803
368,6764,0.384312536
377,2991,0.989862507
377,3768,0.571793761
377,6528,0.730193818
382,856,0.571793761
382,2823,0.840812536
382,3560,0.989862507
382,3704,0.989862507
382,4006,0.989862507
390,2698,0.4565
390,3805,0.879243789
390,3937,0.913
390,5809,0.763950028
409,410,0.687087521
409,509,0.494931254
409,542,0.725518775
409,556,0.913
409,690,0.879243789
409,771,0.4565
409,884,0.571793761
409,1047,0.648656268
409,1170,0.951431254
409,1389,0.802381282
409,1487,0.725518775
409,1732,0.763950028
409,2029,0.687087521
409,2079,0.192156268
409,2130,0.648656268
409,2613,0.230587521
409,2641,0.989862507
409,2709,0.879243789
409,2833,0.917675043
409,2973,0.763950028
409,3138,0.989862507
409,3452,0.307450028
409,3569,0.345881282
409,3670,0.917675043
409,3674,0.610225014
409,3797,0.989862507
409,4004,0.840812536
409,4086,0.269018775
409,4092,0.687087521
409,4125,0.269018775
409,4150,0.571793761
409,4166,0.763950028
409,4230,0.951431254
409,4236,0.571793761
409,4342,0.614900057
409,4557,0.989862507
409,4777,0.269018775
409,4810,0.4565
409,5026,0.384312536
409,5042,0.687087521
409,5163,0.648656268
409,5577,0.917675043
409,6099,0.951431254
409,6330,0.725518775
409,6352,0.307450028
409,6380,0.840812536
409,6601,0.610225014
409,6697,0.4565
409,6751,0.4565
409,6764,0.648656268
409,6779,0.230587521
410,542,0.951431254
410,662,0.802381282
410,690,0.65333131
410,710,0.494931254
410,884,0.345881282
410,1047,0.951431254
410,1170,0.648656268
410,1316,0.571793761
410,1335,0.879243789
410,1487,0.951431254
410,1729,0.879243789
410,1732,0.989862507
410,1812,0.763950028
410,1928,0.917675043
410,2029,0.461175043
410,2079,0.879243789
410,2522,0.610225014
410,2613,0.4565
410,2709,0.65333131
410,2755,0.951431254
410,2973,0.076862507
410,2985,0.763950028
410,3138,0.610225014
410,3237,0.840812536
410,3308,0.99453755
410,3452,0.533362507
410,3513,0.571793761
410,3674,0.384312536
410,3749,0.802381282
410,3797,0.763950028
410,3846,0.494931254
410,4059,0.571793761
410,4086,0.956106296
410,4092,0.461175043
410,4125,0.956106296
410,4150,0.115293761
410,4166,0.989862507
410,4342,0.840812536
410,4380,0.956106296
410,4484,0.571793761
410,4557,0.763950028
410,4714,0.956106296
410,4777,0.494931254
410,4932,0.99453755
410,5026,0.610225014
410,5163,0.951431254
410,5328,0.840812536
410,5438,0.494931254
410,5498,0.917675043
410,5577,0.230587521
410,5607,0.917675043
410,5697,0.494931254
410,5728,0.802381282
410,5900,0.917675043
410,6099,0.725518775
410,6286,0.533362507
410,6330,0.499606296
410,6352,0.99453755
410,6373,0.951431254
410,6441,0.494931254
410,6481,0.576468803
410,6491,0.99453755
410,6601,0.384312536
410,6751,0.230587521
410,6764,0.951431254
410,6779,0.917675043
410,6830,0.687087521
447,2596,0.879243789
447,4075,0.951431254
447,4226,0.763950028
447,4948,0.571793761
447,5514,0.917675043
447,5751,0.917675043
447,6032,0.922350085
447,6480,0.951431254
447,6867,0.571793761
459,3018,0.998934895
460,672,0.951431254
460,1202,0.153725014
460,1501,0.763950028
460,1557,0.115293761
460,1950,0.269018775
460,2125,0.153725014
460,3490,0.648656268
460,3666,0.4565
460,6430,0.99453755
460,6625,0.917675043
460,7022,0.956106296
472,2384,0.802381282
472,3198,0.192156268
472,5545,0.99453755
472,6080,0.763950028
475,4894,0.913
489,1202,0.879243789
489,1557,0.917675043
489,2271,0.571793761
489,2506,0.989862507
489,6430,0.951431254
494,509,0.879243789
494,662,0.269018775
494,690,0.494931254
494,710,0.65333131
494,759,0.307450028
494,771,0.840812536
494,884,0.725518775
494,985,0.956106296
494,1072,0.53803755
494,1335,0.192156268
494,1369,0.879243789
494,1389,0.494931254
494,1454,0.571793761
494,1567,0.725518775
494,1812,0.922350085
494,1833,0.725518775
494,1928,0.153725014
494,1934,0.840812536
494,2029,0.610225014
494,2117,0.038431254
494,2130,0.648656268
494,2522,0.768625071
494,2664,0.956106296
494,2709,0.494931254
494,2752,0.879243789
494,2824,0.494931254
494,2833,0.533362507
494,2888,0.038431254
494,3138,0.461175043
494,3237,0.230587521
494,3308,0.076862507
494,3494,0.840812536
494,3513,0.730193818
494,3569,0.951431254
494,3670,0.533362507
494,3674,0.687087521
494,3749,0.269018775
494,3797,0.307450028
494,4004,0.4565
494,4059,0.499606296
494,4092,0.610225014
494,4150,0.956106296
494,4236,0.956106296
494,4319,0.725518775
494,4469,0.840812536
494,4533,0.879243789
494,4557,0.307450028
494,4714,0.115293761
494,4810,0.840812536
494,5211,0.153725014
494,5279,0.571793761
494,5328,0.999212592
494,5438,0.576468803
494,5498,0.153725014
494,5553,0.648656268
494,5621,0.725518775
494,5630,0.802381282
494,5697,0.576468803
494,5728,0.269018775
494,5730,0.153725014
494,5770,0.989862507
494,5900,0.153725014
494,6099,0.345881282
494,6286,0.53803755
494,6330,0.571793761
494,6352,0.989862507
494,6380,0.4565
494,6441,0.65333131
494,6491,0.076862507
494,6601,0.687087521
494,6697,0.840812536
494,6729,0.038431254
494,6751,0.840812536
494,6959,0.076862507
509,542,0.230587521
509,556,0.494931254
509,662,0.610225014
509,710,0.687087521
509,771,0.038431254
509,985,0.989862507
509,1047,0.153725014
509,1335,0.687087521
509,1369,0.913
509,1389,0.384312536
509,1487,0.230587521
509,1732,0.269018775
509,1812,0.956106296
509,1928,0.725518775
509,1934,0.807056325
509,2079,0.687087521
509,2092,0.879243789
509,2117,0.917675043
509,2130,0.230587521
509,2522,0.802381282
509,2613,0.648656268
509,2641,0.494931254
509,2664,0.989862507
509,2752,0.845487578
509,2833,0.499606296
509,2888,0.917675043
509,2954,0.687087521
509,3106,0.576468803
509,3138,0.494931254
509,3237,0.648656268
509,3308,0.802381282
509,3452,0.725518775
509,3494,0.807056325
509,3513,0.763950028
509,3569,0.840812536
509,3670,0.499606296
509,3749,0.610225014
509,3797,0.571793761
509,4004,0.422743789
509,4059,0.533362507
509,4086,0.763950028
509,4125,0.763950028
509,4150,0.989862507
509,4166,0.269018775
509,4230,0.533362507
509,4236,0.076862507
509,4469,0.807056325
509,4557,0.571793761
509,4714,0.763950028
509,4777,0.687087521
509,4810,0.038431254
509,5026,0.802381282
509,5128,0.533362507
509,5163,0.153725014
509,5438,0.610225014
509,5498,0.725518775
509,5630,0.989862507
509,5697,0.610225014
509,5728,0.610225014
509,5770,0.802381282
509,5900,0.725518775
509,6099,0.533362507
509,6162,0.802381282
509,6286,0.571793761
509,6352,0.802381282
509,6380,0.422743789
509,6441,0.687087521
509,6491,0.802381282
509,6697,0.038431254
509,6729,0.840812536
509,6751,0.951431254
509,6764,0.153725014
509,6779,0.725518775
509,6959,0.956106296
534,3347,0.802381282
534,4578,0.494931254
542,556,0.725518775
542,662,0.840812536
542,710,0.4565
542,771,0.269018775
542,1047,0.076862507
542,1148,0.99453755
542,1249,0.989862507
542,1335,0.917675043
542,1389,0.614900057
542,1487,0
542,1729,0.840812536
542,1732,0.038431254
542,1812,0.725518775
542,1928,0.956106296
542,2079,0.917675043
542,2092,0.648656268
542,2130,0.461175043
542,2522,0.571793761
542,2613,0.494931254
542,2641,0.648656268
542,2755,0.989862507
542,2833,0.730193818
542,2954,0.4565
542,2973,0.951431254
542,3106,0.345881282
